date,T2M,RH2M,PRECTOTCORR,state
2021-01-01,26.14,88.02,0.08,Abia
2021-01-02,26.18,88.77,0.06,Abia
2021-01-03,26.21,88.92,0.12,Abia
2021-01-04,26.87,84.94,0.07,Abia
2021-01-05,26.45,89.33,0.09,Abia
2021-01-06,26.68,86.42,7.32,Abia
2021-01-07,26.26,88.19,6.54,Abia
2021-01-08,26.48,87.05,3.05,Abia
2021-01-09,26.69,85.45,2.9,Abia
2021-01-10,26.64,83.79,4.34,Abia
2021-01-11,26.8,82.81,0.07,Abia
2021-01-12,26.74,82.84,0.15,Abia
2021-01-13,26.51,81.31,0.03,Abia
2021-01-14,26.39,81.22,0.07,Abia
2021-01-15,26.75,79.79,0.03,Abia
2021-01-16,26.49,82.52,0.01,Abia
2021-01-17,26.6,80.74,0.01,Abia
2021-01-18,26.62,81.22,0.0,Abia
2021-01-19,26.98,75.41,0.01,Abia
2021-01-20,24.93,68.19,0.0,Abia
2021-01-21,24.85,71.21,0.0,Abia
2021-01-22,24.45,72.1,0.0,Abia
2021-01-23,24.71,67.33,0.0,Abia
2021-01-24,25.02,74.14,0.0,Abia
2021-01-25,26.17,82.05,0.0,Abia
2021-01-26,26.02,84.71,0.17,Abia
2021-01-27,26.12,86.54,0.32,Abia
2021-01-28,26.09,87.95,1.15,Abia
2021-01-29,26.04,80.46,0.15,Abia
2021-01-30,25.29,72.79,0.03,Abia
2021-01-31,25.02,83.41,0.03,Abia
2021-02-01,26.17,85.16,0.06,Abia
2021-02-02,26.87,83.26,0.21,Abia
2021-02-03,26.99,82.94,0.16,Abia
2021-02-04,26.75,75.78,0.03,Abia
2021-02-05,25.58,79.97,0.0,Abia
2021-02-06,24.94,69.89,0.0,Abia
2021-02-07,25.24,78.58,0.0,Abia
2021-02-08,26.47,84.69,0.0,Abia
2021-02-09,27.29,79.58,0.0,Abia
2021-02-10,27.68,80.0,0.35,Abia
2021-02-11,27.39,83.13,0.4,Abia
2021-02-12,27.01,85.68,1.12,Abia
2021-02-13,27.17,85.38,1.37,Abia
2021-02-14,27.43,84.78,0.44,Abia
2021-02-15,27.11,85.27,0.18,Abia
2021-02-16,27.46,81.36,0.05,Abia
2021-02-17,25.68,72.91,0.13,Abia
2021-02-18,24.56,65.87,0.0,Abia
2021-02-19,24.19,56.88,0.0,Abia
2021-02-20,25.69,60.6,0.0,Abia
2021-02-21,26.01,74.43,0.01,Abia
2021-02-22,25.71,83.97,0.0,Abia
2021-02-23,25.99,85.53,0.02,Abia
2021-02-24,26.03,83.13,0.03,Abia
2021-02-25,26.1,84.25,0.15,Abia
2021-02-26,25.98,87.68,0.64,Abia
2021-02-27,27.14,81.19,0.73,Abia
2021-02-28,26.89,84.67,0.3,Abia
2021-03-01,27.36,84.07,0.59,Abia
2021-03-02,27.17,83.28,0.0,Abia
2021-03-03,26.74,85.84,0.0,Abia
2021-03-04,27.1,84.44,0.0,Abia
2021-03-05,27.02,85.67,0.0,Abia
2021-03-06,26.95,85.71,0.0,Abia
2021-03-07,27.44,85.46,1.09,Abia
2021-03-08,27.27,87.19,3.03,Abia
2021-03-09,27.59,85.17,3.33,Abia
2021-03-10,26.55,88.95,5.9,Abia
2021-03-11,26.6,87.79,4.54,Abia
2021-03-12,26.56,87.03,4.51,Abia
2021-03-13,26.75,86.98,7.96,Abia
2021-03-14,25.38,91.78,10.61,Abia
2021-03-15,25.54,86.29,1.76,Abia
2021-03-16,25.72,89.03,1.91,Abia
2021-03-17,26.14,84.09,0.56,Abia
2021-03-18,25.87,86.9,0.53,Abia
2021-03-19,25.77,84.09,1.17,Abia
2021-03-20,25.18,88.73,0.64,Abia
2021-03-21,26.21,83.24,0.02,Abia
2021-03-22,25.44,90.93,6.39,Abia
2021-03-23,26.21,86.6,3.79,Abia
2021-03-24,25.02,91.47,5.2,Abia
2021-03-25,25.79,85.5,2.95,Abia
2021-03-26,26.11,85.29,2.24,Abia
2021-03-27,26.93,84.72,0.0,Abia
2021-03-28,27.33,73.57,0.0,Abia
2021-03-29,26.33,78.13,0.0,Abia
2021-03-30,27.07,81.68,0.0,Abia
2021-03-31,26.91,82.99,0.0,Abia
2021-04-01,27.25,83.87,0.08,Abia
2021-04-02,27.05,85.34,0.08,Abia
2021-04-03,27.53,83.01,0.04,Abia
2021-04-04,27.0,86.68,0.1,Abia
2021-04-05,27.35,85.09,0.07,Abia
2021-04-06,26.73,89.77,8.86,Abia
2021-04-07,26.81,89.85,5.97,Abia
2021-04-08,26.25,91.85,8.36,Abia
2021-04-09,26.55,87.53,2.5,Abia
2021-04-10,26.87,86.63,7.28,Abia
2021-04-11,26.11,89.68,41.52,Abia
2021-04-12,27.02,82.77,2.02,Abia
2021-04-13,25.88,90.55,38.39,Abia
2021-04-14,25.97,85.86,14.02,Abia
2021-04-15,27.41,80.47,4.49,Abia
2021-04-16,25.74,92.55,8.62,Abia
2021-04-17,26.32,88.42,3.44,Abia
2021-04-18,26.72,83.61,3.26,Abia
2021-04-19,26.92,86.09,2.95,Abia
2021-04-20,26.47,88.35,2.69,Abia
2021-04-21,26.7,88.7,5.79,Abia
2021-04-22,26.67,85.48,5.43,Abia
2021-04-23,27.24,85.44,11.63,Abia
2021-04-24,26.24,89.66,1.15,Abia
2021-04-25,27.54,81.81,1.52,Abia
2021-04-26,27.19,86.44,0.86,Abia
2021-04-27,26.53,90.69,4.25,Abia
2021-04-28,26.97,86.91,1.1,Abia
2021-04-29,26.5,87.67,1.56,Abia
2021-04-30,26.96,85.23,1.85,Abia
2021-05-01,26.21,90.81,12.05,Abia
2021-05-02,27.02,86.52,1.77,Abia
2021-05-03,25.71,92.77,2.96,Abia
2021-05-04,26.02,88.2,1.3,Abia
2021-05-05,26.3,86.29,1.21,Abia
2021-05-06,25.89,90.03,5.81,Abia
2021-05-07,26.57,81.35,1.27,Abia
2021-05-08,25.31,89.77,7.18,Abia
2021-05-09,25.46,82.43,1.39,Abia
2021-05-10,26.06,84.74,1.0,Abia
2021-05-11,27.05,86.2,1.57,Abia
2021-05-12,25.92,91.74,3.53,Abia
2021-05-13,26.06,90.22,3.3,Abia
2021-05-14,26.68,86.99,1.68,Abia
2021-05-15,27.87,83.57,10.96,Abia
2021-05-16,26.74,89.19,1.22,Abia
2021-05-17,26.88,85.08,2.04,Abia
2021-05-18,26.66,86.56,8.24,Abia
2021-05-19,26.73,88.75,4.19,Abia
2021-05-20,25.95,92.12,7.5,Abia
2021-05-21,26.81,85.8,5.19,Abia
2021-05-22,25.64,92.27,1.7,Abia
2021-05-23,26.58,86.53,1.51,Abia
2021-05-24,26.97,85.92,1.24,Abia
2021-05-25,26.84,90.32,3.2,Abia
2021-05-26,26.61,89.59,4.84,Abia
2021-05-27,26.57,89.72,6.38,Abia
2021-05-28,26.1,90.18,3.74,Abia
2021-05-29,26.54,89.35,5.65,Abia
2021-05-30,26.86,89.87,4.44,Abia
2021-05-31,26.13,94.66,96.99,Abia
2021-06-01,26.51,86.14,37.87,Abia
2021-06-02,25.82,88.05,1.96,Abia
2021-06-03,26.36,88.08,3.26,Abia
2021-06-04,25.34,93.42,5.61,Abia
2021-06-05,25.54,89.71,10.24,Abia
2021-06-06,27.26,76.18,6.67,Abia
2021-06-07,27.51,77.82,0.68,Abia
2021-06-08,26.77,88.97,10.54,Abia
2021-06-09,25.79,93.46,17.57,Abia
2021-06-10,27.45,82.26,1.3,Abia
2021-06-11,25.97,90.62,6.73,Abia
2021-06-12,25.78,87.73,1.33,Abia
2021-06-13,26.7,85.68,0.77,Abia
2021-06-14,26.14,91.77,1.73,Abia
2021-06-15,25.57,91.07,9.86,Abia
2021-06-16,26.03,86.61,8.69,Abia
2021-06-17,25.71,87.97,6.56,Abia
2021-06-18,25.86,89.09,12.06,Abia
2021-06-19,25.06,93.63,17.98,Abia
2021-06-20,25.55,88.99,1.8,Abia
2021-06-21,24.68,92.72,9.95,Abia
2021-06-22,24.29,93.85,1.82,Abia
2021-06-23,25.05,89.05,0.77,Abia
2021-06-24,26.03,84.54,0.54,Abia
