state,year,epi_week,rainfall_mm,temperature_c,humidity_pct
Abia,2020,53,0.26,26.176666666666666,88.57
Abia,2021,1,24.310000000000002,26.58142857142857,86.45285714285714
Abia,2021,2,0.37,26.611428571428572,81.60428571428572
Abia,2021,3,0.01,25.365714285714287,72.8
Abia,2021,4,1.8499999999999999,25.821428571428573,82.55857142857143
Abia,2021,5,0.45999999999999996,26.077142857142857,79.36857142857143
Abia,2021,6,3.68,27.205714285714286,83.32000000000001
Abia,2021,7,0.37,25.814285714285713,71.04571428571428
Abia,2021,8,1.8699999999999999,26.262857142857143,84.34571428571428
Abia,2021,9,1.6800000000000002,27.111428571428572,84.92428571428572
Abia,2021,10,39.879999999999995,26.67142857142857,87.84142857142857
Abia,2021,11,6.59,25.775714285714287,86.05285714285715
Abia,2021,12,20.57,26.118571428571425,85.44000000000001
Abia,2021,13,0.30000000000000004,27.02,83.10000000000001
Abia,2021,14,74.56,26.66714285714286,88.62857142857142
Abia,2021,15,74.24000000000001,26.437142857142856,86.31857142857143
Abia,2021,16,31.16,26.825714285714287,86.50428571428571
Abia,2021,17,23.44,26.768571428571427,87.75285714285714
Abia,2021,18,21.119999999999997,25.89428571428571,87.26285714285714
Abia,2021,19,23.26,26.625714285714285,87.52142857142857
Abia,2021,20,30.37,26.464285714285715,88.15857142857143
Abia,2021,21,29.490000000000002,26.641428571428573,89.27857142857144
Abia,2021,22,162.6,26.13714285714286,88.03428571428572
Abia,2021,23,38.92,26.56714285714286,86.64857142857143
Abia,2021,24,58.68,25.702857142857145,89.87571428571428
Abia,2021,25,39.0,25.02,90.96000000000001
Abia,2021,26,67.91,25.054285714285715,89.53857142857143
Abia,2021,27,64.47,25.005714285714284,89.80999999999999
Abia,2021,28,72.21,25.057142857142857,90.44428571428571
Abia,2021,29,11.66,25.054285714285715,88.96428571428571
Abia,2021,30,7.609999999999999,24.84714285714286,86.96285714285715
Abia,2021,31,46.09,24.742857142857144,91.06000000000002
Abia,2021,32,142.11,25.07,89.85285714285715
Abia,2021,33,64.55,24.650000000000002,91.11999999999999
Abia,2021,34,31.45,25.382857142857144,90.32714285714285
Abia,2021,35,54.66,25.054285714285715,90.83
Abia,2021,36,40.71,25.388571428571428,90.51571428571428
Abia,2021,37,24.189999999999998,25.34857142857143,88.96142857142857
Abia,2021,38,44.15,24.958571428571428,90.07428571428571
Abia,2021,39,36.87,25.45285714285714,89.99714285714286
Abia,2021,40,140.57000000000002,25.89428571428571,89.79142857142857
Abia,2021,41,31.450000000000003,25.502857142857145,91.21428571428571
Abia,2021,42,42.36,25.35,89.84285714285714
Abia,2021,43,37.28,25.631428571428568,89.02285714285715
Abia,2021,44,54.06999999999999,25.364285714285717,90.70142857142856
Abia,2021,45,54.06,25.59857142857143,90.23285714285714
Abia,2021,46,47.17,26.0,88.39142857142858
Abia,2021,47,33.08,26.389999999999997,87.54571428571428
Abia,2021,48,4.2,26.048571428571428,84.77428571428572
Abia,2021,49,0.71,25.198571428571427,78.88428571428572
Abia,2021,50,1.82,24.375714285714285,73.62
Abia,2021,51,8.59,24.804285714285715,73.86142857142856
Abia,2021,52,9.02,25.07,75.61
Abia,2022,1,34.85,24.942857142857143,77.04857142857144
Abia,2022,2,10.69,25.93,84.8
Abia,2022,3,26.05,23.867142857142856,70.36428571428571
Abia,2022,4,4.53,23.377142857142854,66.54142857142857
Abia,2022,5,0.8,23.762857142857143,63.92285714285715
Abia,2022,6,0.6900000000000001,24.60571428571429,70.98285714285714
Abia,2022,7,0.55,26.614285714285717,80.65428571428572
Abia,2022,8,0.5,26.18,77.62142857142858
Abia,2022,9,16.68,26.312857142857144,87.90714285714286
Abia,2022,10,35.269999999999996,26.795714285714286,87.10142857142857
Abia,2022,11,1.9,27.094285714285714,85.86142857142856
Abia,2022,12,5.21,27.235714285714288,86.67428571428572
Abia,2022,13,6.07,27.08285714285714,84.45142857142856
Abia,2022,14,49.550000000000004,26.937142857142856,85.24
Abia,2022,15,23.860000000000003,26.424285714285713,86.98
Abia,2022,16,49.83,26.442857142857143,87.71857142857142
Abia,2022,17,43.28,26.21,87.63714285714286
Abia,2022,18,30.97,26.442857142857143,88.19000000000001
Abia,2022,19,16.57,26.584285714285716,89.47857142857143
Abia,2022,20,40.089999999999996,26.419999999999998,88.72857142857143
Abia,2022,21,39.39,25.71,87.94571428571429
Abia,2022,22,52.75,25.807142857142857,89.98571428571428
