state,year,idp_population,returnee_population,displacement_round,displacement_data_age_days
Abia,2021,,0,0,365
Abia,2022,,0,0,365
Abia,2023,,0,0,365
Abia,2024,,0,0,365
Abia,2025,,0,0,365
Adamawa,2021,,0,0,365
Adamawa,2022,,0,0,365
Adamawa,2023,,0,0,365
Adamawa,2024,,0,0,365
Adamawa,2025,,0,0,365
Akwa Ibom,2021,,0,0,365
Akwa Ibom,2022,,0,0,365
Akwa Ibom,2023,,0,0,365
Akwa Ibom,2024,,0,0,365
Akwa Ibom,2025,,0,0,365
Anambra,2021,,0,0,365
Anambra,2022,,0,0,365
Anambra,2023,,0,0,365
Anambra,2024,,0,0,365
Anambra,2025,,0,0,365
Bauchi,2021,,0,0,365
Bauchi,2022,,0,0,365
Bauchi,2023,,0,0,365
Bauchi,2024,,0,0,365
Bauchi,2025,,0,0,365
Bayelsa,2021,,0,0,365
Bayelsa,2022,,0,0,365
Bayelsa,2023,,0,0,365
Bayelsa,2024,,0,0,365
Bayelsa,2025,,0,0,365
Benue,2021,,0,0,365
Benue,2022,,0,0,365
Benue,2023,,0,0,365
Benue,2024,,0,0,365
Benue,2025,,0,0,365
Borno,2021,,0,0,365
Borno,2022,,0,0,365
Borno,2023,,0,0,365
Borno,2024,,0,0,365
Borno,2025,,0,0,365
Cross River,2021,,0,0,365
Cross River,2022,,0,0,365
Cross River,2023,,0,0,365
Cross River,2024,,0,0,365
Cross River,2025,,0,0,365
Delta,2021,,0,0,365
Delta,2022,,0,0,365
Delta,2023,,0,0,365
Delta,2024,,0,0,365
Delta,2025,,0,0,365
Ebonyi,2021,,0,0,365
Ebonyi,2022,,0,0,365
Ebonyi,2023,,0,0,365
Ebonyi,2024,,0,0,365
Ebonyi,2025,,0,0,365
Edo,2021,,0,0,365
Edo,2022,,0,0,365
Edo,2023,,0,0,365
Edo,2024,,0,0,365
Edo,2025,,0,0,365
Ekiti,2021,,0,0,365
Ekiti,2022,,0,0,365
Ekiti,2023,,0,0,365
Ekiti,2024,,0,0,365
Ekiti,2025,,0,0,365
Enugu,2021,,0,0,365
Enugu,2022,,0,0,365
Enugu,2023,,0,0,365
Enugu,2024,,0,0,365
Enugu,2025,,0,0,365
FCT,2021,,0,0,365
FCT,2022,,0,0,365
FCT,2023,,0,0,365
FCT,2024,,0,0,365
FCT,2025,,0,0,365
Gombe,2021,,0,0,365
Gombe,2022,,0,0,365
Gombe,2023,,0,0,365
Gombe,2024,,0,0,365
Gombe,2025,,0,0,365
Imo,2021,,0,0,365
Imo,2022,,0,0,365
Imo,2023,,0,0,365
Imo,2024,,0,0,365
Imo,2025,,0,0,365
Jigawa,2021,,0,0,365
Jigawa,2022,,0,0,365
Jigawa,2023,,0,0,365
Jigawa,2024,,0,0,365
Jigawa,2025,,0,0,365
Kaduna,2021,,0,0,365
Kaduna,2022,,0,0,365
Kaduna,2023,,0,0,365
Kaduna,2024,,0,0,365
Kaduna,2025,,0,0,365
Kano,2021,,0,0,365
Kano,2022,,0,0,365
Kano,2023,,0,0,365
Kano,2024,,0,0,365
Kano,2025,,0,0,365
Katsina,2021,,0,0,365
Katsina,2022,,0,0,365
Katsina,2023,,0,0,365
Katsina,2024,,0,0,365
Katsina,2025,,0,0,365
Kebbi,2021,,0,0,365
Kebbi,2022,,0,0,365
Kebbi,2023,,0,0,365
Kebbi,2024,,0,0,365
Kebbi,2025,,0,0,365
Kogi,2021,,0,0,365
Kogi,2022,,0,0,365
Kogi,2023,,0,0,365
Kogi,2024,,0,0,365
Kogi,2025,,0,0,365
Kwara,2021,,0,0,365
Kwara,2022,,0,0,365
Kwara,2023,,0,0,365
Kwara,2024,,0,0,365
Kwara,2025,,0,0,365
Lagos,2021,,0,0,365
Lagos,2022,,0,0,365
Lagos,2023,,0,0,365
Lagos,2024,,0,0,365
Lagos,2025,,0,0,365
Nasarawa,2021,,0,0,365
Nasarawa,2022,,0,0,365
Nasarawa,2023,,0,0,365
Nasarawa,2024,,0,0,365
Nasarawa,2025,,0,0,365
Niger,2021,,0,0,365
Niger,2022,,0,0,365
Niger,2023,,0,0,365
Niger,2024,,0,0,365
Niger,2025,,0,0,365
Ogun,2021,,0,0,365
Ogun,2022,,0,0,365
Ogun,2023,,0,0,365
Ogun,2024,,0,0,365
Ogun,2025,,0,0,365
Ondo,2021,,0,0,365
Ondo,2022,,0,0,365
Ondo,2023,,0,0,365
Ondo,2024,,0,0,365
Ondo,2025,,0,0,365
Osun,2021,,0,0,365
Osun,2022,,0,0,365
Osun,2023,,0,0,365
Osun,2024,,0,0,365
Osun,2025,,0,0,365
Oyo,2021,,0,0,365
Oyo,2022,,0,0,365
Oyo,2023,,0,0,365
Oyo,2024,,0,0,365
Oyo,2025,,0,0,365
Plateau,2021,,0,0,365
Plateau,2022,,0,0,365
Plateau,2023,,0,0,365
Plateau,2024,,0,0,365
Plateau,2025,,0,0,365
Rivers,2021,,0,0,365
Rivers,2022,,0,0,365
Rivers,2023,,0,0,365
Rivers,2024,,0,0,365
Rivers,2025,,0,0,365
Sokoto,2021,,0,0,365
Sokoto,2022,,0,0,365
Sokoto,2023,,0,0,365
Sokoto,2024,,0,0,365
Sokoto,2025,,0,0,365
Taraba,2021,,0,0,365
Taraba,2022,,0,0,365
Taraba,2023,,0,0,365
Taraba,2024,,0,0,365
Taraba,2025,,0,0,365
Yobe,2021,,0,0,365
Yobe,2022,,0,0,365
Yobe,2023,,0,0,365
Yobe,2024,,0,0,365
Yobe,2025,,0,0,365
Zamfara,2021,,0,0,365
Zamfara,2022,,0,0,365
Zamfara,2023,,0,0,365
Zamfara,2024,,0,0,365
Zamfara,2025,,0,0,365
