state,year,epi_week,rainfall_anomaly_mm,rainfall_zscore,heavy_rain_flag,extreme_rain_flag,rolling_4_rainfall_mm,reliefweb_flood_reports
Abia,2020,53,0.0,0,0,0,0.26,0
Abia,2021,1,14.049999999999999,0.9163261563016897,0,0,24.57,0
Abia,2021,2,-1.9919999999999995,-0.4273520130271868,0,0,24.94,0
Abia,2021,3,-5.516000000000001,-0.48046441846876264,0,0,24.95,0
Abia,2021,4,-1.408,-0.653508875311615,0,0,26.54,0
Abia,2021,5,-0.25400000000000006,-0.2860113729419652,0,0,2.69,0
Abia,2021,6,1.7100000000000002,0.7044676521083558,0,0,6.0,0
Abia,2021,7,0.15799999999999997,0.6666607322743408,0,0,6.36,0
Abia,2021,8,-3.8980000000000006,-0.812141144048729,0,0,6.38,0
Abia,2021,9,-8.862,-1.3895699193377682,0,0,7.600000000000001,0
Abia,2021,10,16.144000000000002,1.0559069542160149,0,0,43.800000000000004,0
Abia,2021,11,-4.306000000000001,-0.38073911597587806,0,0,50.02000000000001,0
Abia,2021,12,5.906000000000002,0.7136005801899533,0,0,68.72,0
Abia,2021,13,-5.798000000000001,-1.1327012564405359,0,0,67.34,0
Abia,2021,14,38.164,1.4071483839410583,1,0,102.02,0
Abia,2021,15,41.01400000000001,1.749449714160969,1,0,169.67000000000002,0
Abia,2021,16,6.490000000000002,0.3695931235635938,0,0,180.26000000000002,0
Abia,2021,17,-8.614,-0.6214498040640785,0,0,203.4,0
Abia,2021,18,-14.105999999999998,-0.44371582957012057,0,0,149.96000000000004,0
Abia,2021,19,6.524000000000001,0.7460511532617264,0,0,98.98,0
Abia,2021,20,-15.541999999999998,-0.42972701199218927,0,0,98.19000000000001,0
Abia,2021,21,0.1839999999999975,0.024851881831767775,0,0,104.24,0
Abia,2021,22,92.19,1.731686323649223,1,1,245.72,0
Abia,2021,23,-23.244,-0.8168379435865838,0,0,261.38,0
Abia,2021,24,12.823999999999998,0.4366435706085943,0,0,289.69,0
Abia,2021,25,-22.524,-0.7129918595924262,0,0,299.2,0
Abia,2021,26,8.367999999999988,0.2995305407277745,0,0,204.51,0
Abia,2021,27,-9.707999999999998,-0.4487652266821014,0,0,230.05999999999997,0
Abia,2021,28,31.656,1.4981866143215625,0,0,243.58999999999997,0
Abia,2021,29,-33.85000000000001,-1.1037679321702973,0,0,216.25,0
Abia,2021,30,-40.482,-1.1426648645700692,0,0,155.95,0
Abia,2021,31,21.972,1.4378350463953413,0,0,137.57,0
Abia,2021,32,64.46200000000002,1.1300956616317759,1,1,207.47000000000003,0
Abia,2021,33,40.54,1.7788054225645573,0,0,260.36,0
Abia,2021,34,-8.443999999999999,-0.3290784139028016,0,0,284.2,0
Abia,2021,35,17.832,0.8631326851606134,0,0,292.77000000000004,0
Abia,2021,36,-14.672000000000004,-0.3582841170250589,0,0,191.37000000000003,0
Abia,2021,37,-15.504000000000001,-1.2382631009221101,0,0,151.01000000000002,0
Abia,2021,38,-20.622000000000007,-1.0027811305591583,0,0,163.71000000000004,0
Abia,2021,39,-10.21800000000001,-0.5056456602581306,0,0,145.92000000000002,0
Abia,2021,40,80.93400000000003,1.7830074388814825,1,1,245.78000000000003,0
Abia,2021,41,-11.61,-0.5617818954497493,0,0,253.04000000000002,0
Abia,2021,42,0.012000000000000455,0.0005372006026407449,0,0,251.25000000000006,0
Abia,2021,43,11.625999999999998,1.1200934790042723,0,0,251.66000000000005,0
Abia,2021,44,11.521999999999991,0.9619802057154391,0,0,165.16000000000003,0
Abia,2021,45,29.148000000000003,1.2179447512937478,0,0,187.77000000000004,0
Abia,2021,46,28.61,1.5919457397300107,0,0,192.58000000000004,0
Abia,2021,47,23.316,1.6813990869562117,0,0,188.38000000000002,0
Abia,2021,48,0.8740000000000006,0.29417389536253097,0,0,138.51000000000002,0
Abia,2021,49,-5.4239999999999995,-0.44338076781631724,0,0,85.16000000000003,0
Abia,2021,50,-3.42,-0.49302781291236353,0,0,39.810000000000024,0
Abia,2021,51,6.676,1.78022995474747,0,0,15.320000000000029,0
Abia,2021,52,7.1419999999999995,1.7876117464452181,0,0,20.14000000000003,0
Abia,2022,1,24.590000000000003,1.6037338208867298,0,0,54.28000000000003,0
Abia,2022,2,8.328,1.786640343619685,0,0,63.15000000000003,0
Abia,2022,3,20.524,1.7877178616121978,0,0,80.61000000000004,0
Abia,2022,4,1.2720000000000002,0.5903858589462887,0,0,76.12000000000002,0
Abia,2022,5,0.08600000000000008,0.09683849635042924,0,0,42.07000000000003,0
Abia,2022,6,-1.2799999999999998,-0.527320815613272,0,0,32.070000000000036,0
Abia,2022,7,0.338,1.426147642460299,0,0,6.570000000000029,0
Abia,2022,8,-5.268000000000001,-1.09757812900172,0,0,2.5400000000000285,0
Abia,2022,9,6.138,0.9624441621411894,0,0,18.420000000000027,0
Abia,2022,10,11.534000000000002,0.7543874386724181,0,0,53.00000000000003,0
Abia,2022,11,-8.996,-0.7954317434554107,0,0,54.35000000000003,0
Abia,2022,12,-9.453999999999997,-1.1422925643609572,0,0,59.06000000000003,0
Abia,2022,13,-0.02800000000000047,-0.005470099203231379,0,0,48.45000000000003,0
Abia,2022,14,13.153999999999996,0.4850023541127942,0,0,62.730000000000025,0
Abia,2022,15,-9.365999999999996,-0.3995061691820263,0,0,84.69000000000003,0
Abia,2022,16,25.16,1.4328140198551644,0,0,129.31,0
Abia,2022,17,11.225999999999999,0.8098903529630072,0,0,166.52000000000004,0
Abia,2022,18,-4.256,-0.13387597977105015,0,0,147.94000000000003,0
Abia,2022,19,-0.16600000000000037,-0.018982907946267145,0,0,140.65000000000003,0
Abia,2022,20,-5.821999999999996,-0.16097482073211455,0,0,130.91000000000003,0
Abia,2022,21,10.084,1.3619911760410308,0,0,127.02000000000004,0
Abia,2022,22,-17.659999999999997,-0.3317234024909998,0,0,148.80000000000004,0
Abia,2022,23,1.0360000000000014,0.03640699146255816,0,0,195.43000000000004,0
Abia,2022,24,-30.156000000000002,-1.0267797500992493,0,0,171.04000000000005,0
Abia,2022,25,-27.694000000000003,-0.8766469792023021,0,0,165.48000000000002,0
Abia,2022,26,-40.86200000000001,-1.4626454296389033,0,0,131.41000000000003,0
Abia,2022,27,-20.52799999999999,-0.9489341340471957,0,0,121.86000000000004,0
