state,health_facility_count,hospital_count,phc_count
Abia,1321,39,1158
Adamawa,1561,12,1469
Akwa Ibom,934,36,767
Anambra,1867,115,1532
Bauchi,1468,26,1385
Bayelsa,422,13,354
Benue,2284,28,2020
Borno,804,27,679
Cross River,1522,35,1371
Delta,1059,43,874
Ebonyi,1243,32,1103
Edo,1069,31,928
Ekiti,772,33,663
Enugu,1457,49,1214
Fct,652,18,525
Gombe,897,10,770
Imo,1779,56,1518
Jigawa,904,2,688
Kaduna,1545,16,1391
Kano,1723,35,1592
Katsina,2296,18,2210
Kebbi,1207,27,1142
Kogi,1644,22,1517
Kwara,1097,22,926
Lagos,2798,117,2161
Nasarawa,1207,20,1110
Niger,2201,27,2084
Ogun,1993,56,1555
Ondo,1096,31,1008
Osun,1729,42,1616
Oyo,2045,79,1639
Plateau,1643,22,1459
Rivers,791,41,666
Sokoto,937,22,891
Taraba,1464,10,1367
Yobe,663,12,633
Zamfara,928,21,883
