s/n,epi_week,state,year,cases,deaths,cfr,suspected_cases,confirmed_cases,rainfall_mm,temperature_c,humidity_pct,rainfall_anomaly_mm,rainfall_zscore,heavy_rain_flag,extreme_rain_flag,rolling_4_rainfall_mm,reliefweb_flood_reports,basic_water_pct,safely_managed_water_pct,basic_sanitation_pct,safely_managed_sanitation_pct,open_defecation_pct,idp_population,returnee_population,displacement_round,displacement_data_age_days,health_facility_count,hospital_count,phc_count,epi_week_label,epi_week_start,epi_week_end,period_weeks,state_code,report_gap_weeks,date,month,quarter,rainy_season,lag_1_cases,lag_2_cases,lag_4_cases,lag_8_cases,lag_1_deaths,lag_1_cfr,lag_2_deaths,lag_2_cfr,lag_4_deaths,lag_4_cfr,rolling_4_cases,rolling_8_cases,rolling_4_deaths,rolling_4_cfr,risk_threshold_basis,risk_low_threshold,risk_high_threshold,risk_level
485,36,Abia,2021,13,0,0.0,13,,40.71,25.388571428571428,90.51571428571428,-14.672000000000004,-0.3582841170250589,0,0,191.37000000000003,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,1321.0,39.0,1158.0,36,36,36,1,0,0,2021-09-06,9,3,1,,,,,,,,,,,,,,,iqr_trimmed_quantiles,9.0,30.0,Medium
484,37,Abia,2021,12,0,0.0,12,,24.19,25.34857142857143,88.96142857142857,-15.504,-1.23826310092211,0,0,151.01000000000002,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,1321.0,39.0,1158.0,37,37,37,1,0,0,2021-09-13,9,3,1,13.0,,,,0.0,0.0,,,,,13.0,13.0,0.0,0.0,iqr_trimmed_quantiles,9.0,30.0,Medium
457,39,Abia,2021,1,0,0.0,1,,36.87,25.45285714285714,89.99714285714286,-10.21800000000001,-0.5056456602581306,0,0,145.92000000000002,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,1321.0,39.0,1158.0,39,39,39,1,0,1,2021-09-27,9,3,1,12.0,13.0,,,0.0,0.0,0.0,0.0,,,12.5,12.5,0.0,0.0,iqr_trimmed_quantiles,9.0,30.0,Low
356,51,Abia,2021,1,0,0.0,1,,8.59,24.804285714285715,73.86142857142856,6.676,1.78022995474747,0,0,15.320000000000029,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,1321.0,39.0,1158.0,51,51,51,1,0,11,2021-12-20,12,4,0,1.0,12.0,,,0.0,0.0,0.0,0.0,,,8.666666666666666,8.666666666666666,0.0,0.0,iqr_trimmed_quantiles,9.0,30.0,Low
342,17,Abia,2022,25,1,0.04,25,,310.30999999999995,25.871512605042014,80.67689075630253,5.1739999999999995,0.45696487240021094,0,0,60.82000000000003,0,79.457946920672,28.9123382327651,46.5706755484283,31.4553515414556,18.4410066468131,0.0,0,0,365,1321.0,39.0,1158.0,01-17,1,17,17,0,0,2022-04-25,4,2,1,1.0,1.0,13.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.75,6.75,0.0,0.0,iqr_trimmed_quantiles,9.0,30.0,Medium
292,30,Abia,2022,1,0,0.0,1,,173.37,24.99392857142857,89.31357142857142,-8.741,-0.48740811356628655,1,0,131.56250000000003,0,79.457946920672,28.9123382327651,46.5706755484283,31.4553515414556,18.4410066468131,0.0,0,0,365,1321.0,39.0,1158.0,27-30,27,30,4,0,9,2022-07-25,7,3,1,25.0,1.0,12.0,,1.0,0.04,0.0,0.0,0.0,0.0,9.75,10.4,0.25,0.01,iqr_trimmed_quantiles,9.0,30.0,Low
239,4,Abia,2023,35,3,0.0857,35,,5.1899999999999995,25.2175,76.22892857142857,-4.054,-0.3271659831062634,0,0,6.097500000000014,0,81.0772897042816,29.4651386798622,47.7155813553496,32.1314589229297,18.1372592328994,0.0,0,0,365,1321.0,39.0,1158.0,1-4,1,4,4,0,0,2023-01-23,1,1,0,1.0,25.0,1.0,,0.0,0.0,1.0,0.04,0.0,0.0,7.0,8.833333333333334,0.25,0.01,iqr_trimmed_quantiles,9.0,30.0,High
233,9,Abia,2023,9,3,0.3333,9,,34.739999999999995,26.112000000000002,79.60542857142858,3.1068000000000002,0.8316363028964023,0,0,16.220000000000017,0,81.0772897042816,29.4651386798622,47.7155813553496,32.1314589229297,18.1372592328994,0.0,0,0,365,1321.0,39.0,1158.0,5-9,5,9,5,0,0,2023-02-27,2,1,0,35.0,1.0,1.0,,3.0,0.0857,0.0,0.0,0.0,0.0,15.5,12.571428571428571,1.0,0.031425,iqr_trimmed_quantiles,9.0,30.0,Medium
219,17,Abia,2023,11,0,0.0,11,,90.10999999999999,26.737142857142857,87.25892857142856,-9.059000000000001,-0.5285236082877981,0,0,93.96000000000001,0,81.0772897042816,29.4651386798622,47.7155813553496,32.1314589229297,18.1372592328994,0.0,0,0,365,1321.0,39.0,1158.0,14-17,14,17,4,0,4,2023-04-24,4,2,1,9.0,35.0,25.0,13.0,3.0,0.3333,3.0,0.0857,1.0,0.04,17.5,12.125,1.75,0.11474999999999999,iqr_trimmed_quantiles,9.0,30.0,Medium
158,17,Abia,2024,4,0,0.0,4,,42.21,27.97142857142857,86.77285714285713,10.156,0.7326961005426955,0,0,79.22,0,82.2488935172216,29.904599188308,47.9019370619136,32.2082592818415,17.9570129436897,0.0,0,0,365,1321.0,39.0,1158.0,17,17,17,1,0,0,2024-04-22,4,2,1,11.0,9.0,1.0,12.0,0.0,0.0,3.0,0.3333,0.0,0.0,14.0,11.875,1.5,0.10475000000000001,iqr_trimmed_quantiles,9.0,30.0,Low
