S/n,epi_week,State,year,Cases,deaths,cfr
1,1-4,Abia,2025,30,1,0.0333
2,1-4,Adamawa,2025,1,0,0.0000
3,1-4,Akwa-Ibom,2025,21,0,0.0000
4,1-4,Bauchi,2025,4,2,0.5000
5,1-4,Bayelsa,2025,605,1,0.0017
6,1-4,Benue,2025,3,0,0.0000
7,1-4,Borno,2025,1,0,0.0000
8,1-4,Delta,2025,4,1,0.2500
9,1-4,Ekiti,2025,7,0,0.0000
10,1-4,Enugu,2025,1,0,0.0000
11,1-4,Gombe,2025,10,0,0.0000
12,1-4,Imo,2025,1,0,0.0000
13,1-4,Katsina,2025,1,0,0.0000
14,1-4,Kebbi,2025,5,0,0.0000
15,1-4,Lagos,2025,1,0,0.0000
16,1-4,Niger,2025,33,3,0.0909
17,1-4,Ondo,2025,2,0,0.0000
18,1-4,Osun,2025,2,0,0.0000
19,1-4,Oyo,2025,1,0,0.0000
20,1-4,Rivers,2025,51,7,0.1373
21,1-4,Sokoto,2025,1,0,0.0000
22,1-4,Yobe,2025,1,0,0.0000
23,5,Abia,2025,2,0,0.0000
24,5,Akwa-Ibom,2025,1,0,0.0000
25,5,Bayelsa,2025,90,0,0.0000
26,5,Delta,2025,1,0,0.0000
27,5,Enugu,2025,2,0,0.0000
28,5,Lagos,2025,1,0,0.0000
29,5,Rivers,2025,3,0,0.0000
30,6-9,Abia,2025,12,0,0.0000
31,6-9,Akwa-Ibom,2025,6,0,0.0000
32,6-9,Bauchi,2025,13,3,0.2308
33,6-9,Bayelsa,2025,68,0,0.0000
34,6-9,Benue,2025,25,0,0.0000
35,6-9,Borno,2025,2,0,0.0000
36,6-9,Delta,2025,28,4,0.1429
37,6-9,Ekiti,2025,1,0,0.0000
38,6-9,Imo,2025,7,0,0.0000
39,6-9,Katsina,2025,20,0,0.0000
40,6-9,Kebbi,2025,6,0,0.0000
41,6-9,Kogi,2025,12,0,0.0000
42,6-9,Lagos,2025,1,0,0.0000
43,6-9,Nassarawa,2025,5,0,0.0000
44,6-9,Osun,2025,2,0,0.0000
45,6-9,Oyo,2025,1,0,0.0000
46,6-9,Rivers,2025,53,0,0.0000
47,6-9,Taraba,2025,1,0,0.0000
48,39,Adamawa,2024,131,3,0.0229
49,39,Borno,2024,29,0,0.0000
50,39,Ebonyi,2024,30,12,0.4000
51,39,Jigawa,2024,1,0,0.0000
52,39,Kano,2024,7,0,0.0000
53,38,Adamawa,2024,267,2,0.0075
