state,latitude,longitude,zone
Abia,5.532,7.486,South East
Adamawa,9.3265,12.3984,North East
Akwa Ibom,5.0077,7.849,South South
Anambra,6.2209,6.9369,South East
Bauchi,10.3158,9.8442,North East
Bayelsa,4.7719,6.0699,South South
Benue,7.3369,8.7404,North Central
Borno,11.8846,13.151,North East
Cross River,5.8702,8.5988,South South
Delta,5.704,5.9339,South South
Ebonyi,6.2649,8.0137,South East
Edo,6.6342,5.9304,South South
Ekiti,7.719,5.311,South West
Enugu,6.5364,7.4356,South East
FCT,9.0765,7.3986,North Central
Gombe,10.3638,11.1928,North East
Imo,5.572,7.0588,South East
Jigawa,12.228,9.5616,North West
Kaduna,10.5105,7.4165,North West
Kano,12.0022,8.592,North West
Katsina,12.9855,7.6171,North West
Kebbi,12.4539,4.1975,North West
Kogi,7.7337,6.6906,North Central
Kwara,8.9669,4.3874,North Central
Lagos,6.5244,3.3792,South West
Nasarawa,8.4998,8.1997,North Central
Niger,9.9309,5.5983,North Central
Ogun,7.1608,3.3483,South West
Ondo,7.2508,5.2103,South West
Osun,7.5629,4.52,South West
Oyo,7.3775,3.947,South West
Plateau,9.2182,9.5179,North Central
Rivers,4.8581,6.9209,South South
Sokoto,13.0059,5.2476,North West
Taraba,8.8937,11.359,North East
Yobe,12.2939,11.439,North East
Zamfara,12.1844,6.2376,North West
