state,forecast_week,year,epi_week,date,predicted_cases,predicted_lower,predicted_upper,risk_level
Abia,1,2025,10,2025-03-03,3.79,0.0,15.57,Low
Abia,2,2025,11,2025-03-10,4.23,0.0,20.88,Low
Abia,3,2025,12,2025-03-17,4.55,0.0,24.93,Low
Abia,4,2025,13,2025-03-24,4.55,0.0,28.09,Low
Adamawa,1,2025,5,2025-01-27,15.98,0.0,97.11,Medium
Adamawa,2,2025,6,2025-02-03,3.26,0.0,118.01,Low
Adamawa,3,2025,7,2025-02-10,3.97,0.0,144.5,Low
Adamawa,4,2025,8,2025-02-17,5.29,0.0,167.56,Low
Akwa Ibom,1,2025,10,2025-03-03,3.94,0.0,14.81,Low
Akwa Ibom,2,2025,11,2025-03-10,4.52,0.0,19.9,Low
Akwa Ibom,3,2025,12,2025-03-17,4.71,0.0,23.54,Low
Akwa Ibom,4,2025,13,2025-03-24,4.71,0.0,26.46,Low
Anambra,1,2024,39,2024-09-23,10.52,7.89,13.15,Medium
Anambra,2,2024,40,2024-09-30,8.96,5.79,12.12,Low
Anambra,3,2024,41,2024-10-07,8.96,5.08,12.84,Low
Anambra,4,2024,42,2024-10-14,6.61,2.61,10.61,Low
Bauchi,1,2025,10,2025-03-03,4.76,0.0,24.84,Low
Bauchi,2,2025,11,2025-03-10,5.22,0.0,33.61,Low
Bauchi,3,2025,12,2025-03-17,3.73,0.0,38.5,Low
Bauchi,4,2025,13,2025-03-24,3.33,0.0,43.48,Low
Bayelsa,1,2025,10,2025-03-03,20.23,0.0,191.87,Medium
Bayelsa,2,2025,11,2025-03-10,7.6,0.0,250.34,Low
Bayelsa,3,2025,12,2025-03-17,7.95,0.0,305.24,Low
Bayelsa,4,2025,13,2025-03-24,5.8,0.0,349.08,Low
Benue,1,2025,10,2025-03-03,4.25,0.0,169.41,Low
Benue,2,2025,11,2025-03-10,6.15,0.0,239.72,Low
Benue,3,2025,12,2025-03-17,5.0,0.0,291.07,Low
Benue,4,2025,13,2025-03-24,4.65,0.0,334.97,Low
Borno,1,2025,10,2025-03-03,6.98,0.0,1527.39,Low
Borno,2,2025,11,2025-03-10,4.81,0.0,2155.0,Low
Borno,3,2025,12,2025-03-17,7.09,0.0,2640.53,Low
Borno,4,2025,13,2025-03-24,5.0,0.0,3045.83,Low
Cross River,1,2024,39,2024-09-23,8.66,0.0,205.77,Low
Cross River,2,2024,40,2024-09-30,7.55,0.0,286.32,Low
Cross River,3,2024,41,2024-10-07,8.3,0.0,349.72,Low
Cross River,4,2024,42,2024-10-14,6.44,0.0,400.67,Low
Delta,1,2025,10,2025-03-03,6.1,0.0,155.36,Low
Delta,2,2025,11,2025-03-10,2.96,0.0,214.04,Low
Delta,3,2025,12,2025-03-17,4.81,0.0,263.34,Low
Delta,4,2025,13,2025-03-24,2.95,0.0,301.47,Low
Ebonyi,1,2024,40,2024-09-30,6.23,0.0,35.34,Low
Ebonyi,2,2024,41,2024-10-07,6.16,0.0,47.33,Low
Ebonyi,3,2024,42,2024-10-14,4.05,0.0,54.47,Low
Ebonyi,4,2024,43,2024-10-21,4.98,0.0,63.2,Low
Edo,1,2024,35,2024-08-26,4.55,0.0,11.62,Low
Edo,2,2024,36,2024-09-02,6.47,0.0,16.47,Low
Edo,3,2024,37,2024-09-09,4.55,0.0,16.8,Low
Edo,4,2024,38,2024-09-16,6.66,0.0,20.8,Low
Ekiti,1,2025,10,2025-03-03,6.97,4.52,9.42,Low
Ekiti,2,2025,11,2025-03-10,5.7,2.23,9.16,Low
Ekiti,3,2025,12,2025-03-17,5.51,1.27,9.75,Low
