state,year,epi_week,actual_cases,predicted_cases
Abia,2024,13,16,11.781645
Adamawa,2024,13,19,16.54534
Akwa Ibom,2024,13,22,22.238003
Anambra,2024,13,16,11.7577915
Bauchi,2024,13,25,16.517715
Bayelsa,2024,13,18,15.90376
Benue,2024,13,13,15.684858
Borno,2024,13,20,15.889588
Cross River,2024,13,19,18.74734
Delta,2024,13,15,17.253681
Ebonyi,2024,13,5,12.566281
Edo,2024,13,16,17.358694
Ekiti,2024,13,14,18.877937
Enugu,2024,13,17,12.111495
FCT,2024,13,13,15.45698
Gombe,2024,13,21,13.293008
Imo,2024,13,8,11.571278
Jigawa,2024,13,19,15.464615
Kaduna,2024,13,18,13.653424
Kano,2024,13,17,13.6460085
Katsina,2024,13,15,14.748867
Kebbi,2024,13,14,11.996543
Kogi,2024,13,17,14.247842
Kwara,2024,13,14,13.915422
Lagos,2024,13,8,14.92836
Nasarawa,2024,13,12,12.79628
Niger,2024,13,18,14.223283
Ogun,2024,13,21,16.227093
Ondo,2024,13,24,16.761688
Osun,2024,13,23,17.309889
Oyo,2024,13,11,15.538
Plateau,2024,13,15,13.488616
Rivers,2024,13,13,18.540407
Sokoto,2024,13,17,15.0705385
Taraba,2024,13,11,15.282671
Yobe,2024,13,18,16.181372
Zamfara,2024,13,21,16.092505
Abia,2024,14,15,16.608284
Adamawa,2024,14,12,17.584024
Akwa Ibom,2024,14,25,25.94352
Anambra,2024,14,13,14.717289
Bauchi,2024,14,27,18.559383
Bayelsa,2024,14,29,22.677134
Benue,2024,14,31,18.303902
Borno,2024,14,21,20.20935
Cross River,2024,14,26,24.199291
Delta,2024,14,30,22.488811
Ebonyi,2024,14,15,17.702368
Edo,2024,14,18,23.986374
Ekiti,2024,14,21,20.988571
Enugu,2024,14,9,16.775831
FCT,2024,14,17,16.738714
Gombe,2024,14,23,17.448828
Imo,2024,14,12,14.954622
Jigawa,2024,14,30,19.499907
Kaduna,2024,14,23,18.683378
Kano,2024,14,22,16.669794
Katsina,2024,14,17,17.330824
Kebbi,2024,14,25,15.867021
Kogi,2024,14,18,18.586294
Kwara,2024,14,17,15.92853
Lagos,2024,14,11,18.219227
Nasarawa,2024,14,16,16.82419
Niger,2024,14,24,18.806574
Ogun,2024,14,27,23.977402
Ondo,2024,14,18,19.17108
Osun,2024,14,12,19.041357
Oyo,2024,14,29,20.92479
Plateau,2024,14,18,17.734884
Rivers,2024,14,23,23.620699
Sokoto,2024,14,21,17.065262
Taraba,2024,14,26,18.44372
Yobe,2024,14,24,22.951597
Zamfara,2024,14,22,16.573618
Abia,2024,15,14,19.2986
Adamawa,2024,15,31,18.158262
Akwa Ibom,2024,15,33,26.118414
Anambra,2024,15,16,16.904217
Bauchi,2024,15,32,25.603884
Bayelsa,2024,15,20,23.96261
Benue,2024,15,28,22.277105
Borno,2024,15,22,19.489656
Cross River,2024,15,35,26.299723
Delta,2024,15,26,25.396248
Ebonyi,2024,15,9,15.403972
Edo,2024,15,35,22.947992
Ekiti,2024,15,22,24.429476
Enugu,2024,15,17,16.086359
FCT,2024,15,29,19.42757
Gombe,2024,15,27,19.281925
Imo,2024,15,15,17.597673
Jigawa,2024,15,31,23.927658
Kaduna,2024,15,24,20.25551
Kano,2024,15,28,23.254206
Katsina,2024,15,16,21.235674
Kebbi,2024,15,24,20.215496
Kogi,2024,15,23,21.015085
Kwara,2024,15,25,18.914326
Lagos,2024,15,15,18.760557
Nasarawa,2024,15,16,19.770163
Niger,2024,15,18,21.01393
Ogun,2024,15,24,24.923626
Ondo,2024,15,14,22.658022
Osun,2024,15,20,21.083488
Oyo,2024,15,22,25.2875
Plateau,2024,15,24,20.468287
Rivers,2024,15,24,25.158485
Sokoto,2024,15,19,23.316414
Taraba,2024,15,22,23.02076
Yobe,2024,15,20,23.592854
Zamfara,2024,15,25,23.192677
Abia,2024,16,11,18.253868
Adamawa,2024,16,27,25.429825
Akwa Ibom,2024,16,29,29.375858
Anambra,2024,16,15,19.275045
Bauchi,2024,16,29,26.42154
Bayelsa,2024,16,24,26.040148
Benue,2024,16,29,26.343517
Borno,2024,16,26,22.694504
Cross River,2024,16,29,28.684061
Delta,2024,16,30,27.377785
Ebonyi,2024,16,25,18.409645
Edo,2024,16,26,27.74143
Ekiti,2024,16,28,24.755295
Enugu,2024,16,13,20.75747
FCT,2024,16,27,23.929619
Gombe,2024,16,31,25.446985
Imo,2024,16,16,15.890668
Jigawa,2024,16,33,26.221266
Kaduna,2024,16,43,25.66685
Kano,2024,16,31,25.245691
Katsina,2024,16,34,22.77825
Kebbi,2024,16,18,20.199955
Kogi,2024,16,24,23.384123
Kwara,2024,16,22,22.654612
Lagos,2024,16,11,19.376959
Nasarawa,2024,16,21,20.594332
Niger,2024,16,17,23.859688
Ogun,2024,16,29,26.645561
Ondo,2024,16,16,22.256752
Osun,2024,16,24,24.298954
Oyo,2024,16,33,24.79638
Plateau,2024,16,26,24.005198
Rivers,2024,16,20,26.540403
Sokoto,2024,16,25,23.85509
Taraba,2024,16,24,24.031687
Yobe,2024,16,30,24.52595
Zamfara,2024,16,20,25.241018
Abia,2024,17,20,19.234234
Adamawa,2024,17,42,26.830286
Akwa Ibom,2024,17,31,30.23216
Anambra,2024,17,21,20.546038
Bauchi,2024,17,36,30.211412
Bayelsa,2024,17,32,26.666574
Benue,2024,17,24,28.626694
Borno,2024,17,35,26.30403
Cross River,2024,17,39,31.087055
Delta,2024,17,31,28.86993
Ebonyi,2024,17,22,22.680151
Edo,2024,17,31,27.490086
Ekiti,2024,17,27,25.956331
Enugu,2024,17,21,19.541756
FCT,2024,17,20,24.442982
Gombe,2024,17,29,27.732561
Imo,2024,17,23,19.581938
Jigawa,2024,17,25,29.453703
Kaduna,2024,17,27,29.042912
Kano,2024,17,31,26.802998
Katsina,2024,17,23,25.814777
Kebbi,2024,17,43,24.335217
Kogi,2024,17,24,25.760542
Kwara,2024,17,28,22.995455
Lagos,2024,17,19,18.399292
Nasarawa,2024,17,32,22.835379
Niger,2024,17,33,23.009445
Ogun,2024,17,27,28.446218
Ondo,2024,17,36,23.494886
Osun,2024,17,33,25.56969
Oyo,2024,17,24,27.865644
Plateau,2024,17,22,24.649752
Rivers,2024,17,25,25.657667
Sokoto,2024,17,32,25.599058
Taraba,2024,17,32,26.05687
Yobe,2024,17,21,25.258114
