state,year,epi_week,date,actual_cases,actual_risk_level,predicted_cases,absolute_error,predicted_risk_level,model
Bayelsa,2025,4,2025-01-20,605,High,7.56,597.44,Low,xgboost
Adamawa,2024,38,2024-09-16,267,High,7.96,259.04,Low,xgboost
Adamawa,2024,39,2024-09-23,131,High,15.13,115.87,Medium,xgboost
Jigawa,2024,37,2024-09-09,103,High,5.66,97.34,Low,xgboost
Yobe,2024,33,2024-08-12,1,Low,79.66,78.66,High,xgboost
Bayelsa,2025,5,2025-01-27,90,High,17.87,72.13,Medium,xgboost
Lagos,2024,32,2024-08-05,117,High,46.74,70.25999999999999,High,xgboost
Katsina,2024,36,2024-09-02,66,High,11.65,54.35,Medium,xgboost
Lagos,2024,38,2024-09-16,1,Low,48.37,47.37,High,xgboost
Kaduna,2024,38,2024-09-16,55,High,8.03,46.97,Low,xgboost
Bauchi,2024,37,2024-09-09,50,High,3.72,46.28,Low,xgboost
Lagos,2024,31,2024-07-29,48,High,94.13,46.129999999999995,High,xgboost
Ogun,2024,38,2024-09-16,53,High,7.51,45.49,Low,xgboost
Rivers,2025,9,2025-02-24,53,High,7.88,45.12,Low,xgboost
Lagos,2024,35,2024-08-26,13,Medium,56.4,43.4,High,xgboost
Lagos,2024,30,2024-07-22,101,High,140.1,39.099999999999994,High,xgboost
Lagos,2024,37,2024-09-09,67,High,30.89,36.11,High,xgboost
Kano,2024,38,2024-09-16,39,High,3.14,35.86,Low,xgboost
Katsina,2024,35,2024-08-26,41,High,6.92,34.08,Low,xgboost
Lagos,2025,4,2025-01-20,1,Low,33.37,32.37,High,xgboost
Adamawa,2024,37,2024-09-09,37,High,6.0,31.0,Low,xgboost
Bayelsa,2025,9,2025-02-24,68,High,37.18,30.82,High,xgboost
Lagos,2024,34,2024-08-19,89,High,58.32,30.68,High,xgboost
Lagos,2024,33,2024-08-12,73,High,43.02,29.979999999999997,High,xgboost
Niger,2025,4,2025-01-20,33,High,3.03,29.97,Low,xgboost
